GID,High,Low,nlow,nhigh,ID,N,D,OR,abs[log2(OR)],OR-type,OR-type2,AverageShortestPathLength,BetweennessCentrality,Centrality Tier,ClusteringCoefficient,Indegree,NeighborhoodConnectivity,Outdegree
K05934,189.9009,677.1079,16,4,K05934,3038.4144,2708.4316,1.121835383,0.165860991,high-metabotype-depleted,high-metabotype-depleted,8.53522868,0,peripheral,1,3,6.666666667,3
K01042,41.08175,146.33348,16,4,K01042,657.308,585.33392,1.122962428,0.167309659,high-metabotype-depleted,high-metabotype-depleted,0,0,peripheral,0,2,9,0
K01883,344.7775,1225.2545,16,4,K01883,5516.44,4901.018,1.125570239,0.170656088,high-metabotype-depleted,high-metabotype-depleted,0,0,peripheral,0.96190476,21,81.33333333,0
K10985,10.85958,48.95632,16,4,K10985,173.75328,195.82528,0.88728728,0.172526809,high-metabotype-depleted,high-metabotype-depleted,6.09814815,0,peripheral,0,0,9,1
K00257,110.6028,498.7471,16,4,K00257,1769.6448,1994.9884,0.887045158,0.172920544,high-metabotype-depleted,high-metabotype-depleted,4.32138443,0,peripheral,1,4,62.25,4
K11191,1.491701,6.734466,16,4,K11191,23.867216,26.937864,0.886009967,0.174605166,high-metabotype-depleted,high-metabotype-depleted,6.87276096,0,peripheral,0,0,10,1
K11192,1.491701,6.734466,16,4,K11192,23.867216,26.937864,0.886009967,0.174605166,high-metabotype-depleted,high-metabotype-depleted,6.87276096,0,peripheral,0,0,10,1
K01890,295.4343,1044.4197,16,4,K01890,4726.9488,4177.6788,1.131477317,0.178207663,high-metabotype-depleted,high-metabotype-depleted,0,0,peripheral,0.97727273,12,88.75,0
K01451,119.2443,420.718,16,4,K01451,1907.9088,1682.872,1.133721875,0.181066762,high-metabotype-depleted,high-metabotype-depleted,0,0,peripheral,1,5,20.6,0
K01001,1.19727,5.4448,16,4,K01001,19.15632,21.7792,0.879569498,0.185130521,high-metabotype-depleted,high-metabotype-depleted,7.82200247,0,peripheral,1,2,4.5,2
K05780,11.87224,54.00763,16,4,K05780,189.95584,216.03052,0.879300943,0.185571079,high-metabotype-depleted,high-metabotype-depleted,8.46888478,0,peripheral,0,0,5,1
K01866,359.716,1265.0668,16,4,K01866,5755.456,5060.2672,1.137381836,0.18571667,high-metabotype-depleted,high-metabotype-depleted,0,0,peripheral,1,13,81.76923077,0
K01869,308.8508,1084.1027,16,4,K01869,4941.6128,4336.4108,1.139562885,0.188480539,high-metabotype-depleted,high-metabotype-depleted,0,0,peripheral,1,2,17,0
K12554,16.93297,59.260336,16,4,K12554,270.92752,237.041344,1.142954708,0.192768234,high-metabotype-depleted,high-metabotype-depleted,0,0,peripheral,0,1,2,0
K01119,70.9246,324.9006,16,4,K01119,1134.7936,1299.6024,0.873185214,0.195640394,high-metabotype-depleted,high-metabotype-depleted,5.95740741,0,peripheral,0,0,17,1
K02259,1.756997,8.056487,16,4,K02259,28.111952,32.225948,0.872339023,0.197039166,high-metabotype-depleted,high-metabotype-depleted,12.52224969,0,peripheral,0,1,2,1
K02190,184.6982,643.9444,16,4,K02190,2955.1712,2575.7776,1.147292841,0.198233679,high-metabotype-depleted,high-metabotype-depleted,8.53337454,0,peripheral,1,5,8.4,5
K02377,126.0343,578.7136,16,4,K02377,2016.5488,2314.8544,0.871134185,0.199033134,high-metabotype-depleted,high-metabotype-depleted,7.82323857,0,peripheral,0,1,6,1
K05396,34.89736,121.55964,16,4,K05396,558.35776,486.23856,1.14832061,0.199525498,high-metabotype-depleted,high-metabotype-depleted,3.34342187,0,peripheral,0.98148148,0,93.87037037,54
K01881,368.5086,1277.0315,16,4,K01881,5896.1376,5108.126,1.154266281,0.206976082,high-metabotype-depleted,high-metabotype-depleted,0,0,peripheral,0.85714286,7,16,0
K00881,8.04093,27.85012,16,4,K00881,128.65488,111.40048,1.154886227,0.207750732,high-metabotype-depleted,high-metabotype-depleted,5.12175525,0,peripheral,0,1,21,1
K08092,13.93686,64.45855,16,4,K08092,222.98976,257.8342,0.864857183,0.209466179,high-metabotype-depleted,high-metabotype-depleted,6.12422744,0,peripheral,0.5,1,6.5,2
K01873,309.763,1071.3188,16,4,K01873,4956.208,4285.2752,1.156567027,0.209848878,high-metabotype-depleted,high-metabotype-depleted,0,0,peripheral,1,5,40.4,0
K01761,23.44088,80.97793,16,4,K01761,375.05408,323.91172,1.15788981,0.211497967,high-metabotype-depleted,high-metabotype-depleted,0,0,peripheral,1,6,21.83333333,0
K01868,341.0363,1175.2996,16,4,K01868,5456.5808,4701.1984,1.16067869,0.214968647,high-metabotype-depleted,high-metabotype-depleted,0,0,peripheral,1,4,36.5,0
K01813,111.8012,382.7435,16,4,K01813,1788.8192,1530.974,1.168419059,0.224557796,high-metabotype-depleted,high-metabotype-depleted,5.74613959,0,peripheral,0,0,5,1
K01779,57.0688,267.30938,16,4,K01779,913.1008,1069.23752,0.853973774,0.227736331,high-metabotype-depleted,high-metabotype-depleted,0,0,peripheral,1,20,72.3,0
K01442,380.1917,1294.0877,16,4,K01442,6083.0672,5176.3508,1.175165176,0.23286355,high-metabotype-depleted,high-metabotype-depleted,3.64731316,0,peripheral,0.56060606,0,51.91176471,34
K00096,73.0087,247.88409,16,4,K00096,1168.1392,991.53636,1.178110301,0.236474619,high-metabotype-depleted,high-metabotype-depleted,0,0,peripheral,1,17,33.94117647,0
K01870,307.1547,1042.1148,16,4,K01870,4914.4752,4168.4592,1.178966847,0.23752315,high-metabotype-depleted,high-metabotype-depleted,0,0,peripheral,1,2,17,0
K03390,75.176,253.83023,16,4,K03390,1202.816,1015.32092,1.18466583,0.244480161,high-metabotype-depleted,high-metabotype-depleted,5.05500618,0,peripheral,1,16,27.25,16
K07806,11.224838,37.862261,16,4,K07806,179.597408,151.449044,1.185860295,0.245934057,high-metabotype-depleted,high-metabotype-depleted,7.0302843,0,peripheral,0,1,5,1
K01889,396.0317,1332.5178,16,4,K01889,6336.5072,5330.0712,1.188822243,0.249533014,high-metabotype-depleted,high-metabotype-depleted,0,0,peripheral,0.97727273,12,88.75,0
K01950,309.5805,1041.1877,16,4,K01950,4953.288,4164.7508,1.189335986,0.250156333,high-metabotype-depleted,high-metabotype-depleted,4.72805933,0,peripheral,0.87878788,10,20.75,12
K03269,85.7053,408.4874,16,4,K03269,1371.2848,1633.9496,0.83924547,0.25283525,high-metabotype-depleted,high-metabotype-depleted,7.85228677,0,peripheral,1,2,3,2
K03404,5.996509,28.589247,16,4,K03404,95.944144,114.356988,0.838988029,0.253277868,high-metabotype-depleted,high-metabotype-depleted,10.52595797,0,peripheral,1,5,6,5
K02745,53.247,178.64111,16,4,K02745,851.952,714.56444,1.192267558,0.253708029,high-metabotype-depleted,high-metabotype-depleted,7.09438618,0,peripheral,0,0,5,1
K09516,16.38909,54.84075,16,4,K09516,262.22544,219.363,1.19539503,0.25748745,high-metabotype-depleted,high-metabotype-depleted,0,0,peripheral,1,7,20.85714286,0
K01906,7.45996,35.70592,16,4,K01906,119.35936,142.82368,0.835711277,0.258923491,high-metabotype-depleted,high-metabotype-depleted,6.40420272,0,peripheral,1,2,4.5,2
K02169,56.06583,269.95445,16,4,K02169,897.05328,1079.8178,0.830745039,0.267522323,high-metabotype-depleted,high-metabotype-depleted,4.52533993,0,peripheral,1,7,44.42857143,7
K05275,23.47162,77.57068,16,4,K05275,375.54592,310.28272,1.210334626,0.275405971,high-metabotype-depleted,high-metabotype-depleted,6.13597033,0,peripheral,1,2,5,2
K04720,220.8529,729.5355,16,4,K04720,3533.6464,2918.142,1.210923389,0.276107593,high-metabotype-depleted,high-metabotype-depleted,12.8276714,0,peripheral,0,0,5,1
K00019,24.71939,81.64309,16,4,K00019,395.51024,326.57236,1.211095268,0.276312356,high-metabotype-depleted,high-metabotype-depleted,4.45117429,0,peripheral,0.95833333,8,28.33333333,9
K04568,3.29781,16.02794,16,4,K04568,52.76496,64.11176,0.82301531,0.281008827,high-metabotype-depleted,high-metabotype-depleted,0,0,peripheral,1,5,10,0
K01844,55.535,181.8513,16,4,K01844,888.56,727.4052,1.221547495,0.288709958,high-metabotype-depleted,high-metabotype-depleted,0,0,peripheral,0,1,6,0
K12308,296.0123,969.2672,16,4,K12308,4736.1968,3877.0688,1.221592147,0.288762693,high-metabotype-depleted,high-metabotype-depleted,4.57566399,0,peripheral,1,0,40.66666667,9
K06045,4.566116,14.927416,16,4,K06045,73.057856,59.709664,1.223551618,0.291074966,high-metabotype-depleted,high-metabotype-depleted,6.86093943,0,peripheral,0,1,10,1
K00805,252.5911,825.1017,16,4,K00805,4041.4576,3300.4068,1.22453317,0.292231854,high-metabotype-depleted,high-metabotype-depleted,5.86217553,0,peripheral,0.88888889,8,11.88888889,9
K01684,44.82635,146.28054,16,4,K01684,717.2216,585.12216,1.225763864,0.29368108,high-metabotype-depleted,high-metabotype-depleted,5.16254635,0,peripheral,1,1,8.5,2
K00086,52.9688,172.6033,16,4,K00086,847.5008,690.4132,1.227526936,0.295754682,high-metabotype-depleted,high-metabotype-depleted,0,0,peripheral,0.07142857,7,18.14285714,0
K00972,58.26035,189.1153,16,4,K00972,932.1656,756.4612,1.23227153,0.301320187,high-metabotype-depleted,high-metabotype-depleted,5.868356,0,peripheral,0.75,6,10.625,8
K01879,33.409,108.22326,16,4,K01879,534.544,432.89304,1.234817728,0.3042981,high-metabotype-depleted,high-metabotype-depleted,0,0,peripheral,0.95454545,22,53.13636364,0
K04567,410.9557,1325.7806,16,4,K04567,6575.2912,5303.1224,1.239890522,0.310212741,high-metabotype-depleted,high-metabotype-depleted,0,0,peripheral,1,5,10,0
K09019,5.46089,27.14794,16,4,K09019,87.37424,108.59176,0.804612063,0.313634728,high-metabotype-depleted,high-metabotype-depleted,4.13473424,0,peripheral,1,6,32.83333333,6
K01201,65.92934,327.7693,16,4,K01201,1054.86944,1311.0772,0.804582247,0.313688189,high-metabotype-depleted,high-metabotype-depleted,5.45179234,0,peripheral,1,2,33.5,2
