CSM5LLGB,CSM6J2H9,CSM79HGR,ESM5GEYX,ESM5GEYY,ESM5GEZ1,ESM5MEAB,ESM5MEB9,ESM5MEC7,ESM5MEDP,ESM5MEE2,ESM5MEEJ,ESM718U9,ESM7F5AE,HSM5MD6G,HSM5MD6S,HSM67VDR,HSM67VDT,HSM67VDX,HSM6XRQC,HSM6XRTE,HSM7CZ2X,HSM7J4JV,HSMA33J1,HSMA33NG,HSMA33P2,MSM5LLFG,MSM5LLFM,MSM5LLH2,MSM5LLHE,MSM5LLHV,MSM5LLI6,MSM5LLIK,MSM6J2JF,MSM6J2JH,MSM6J2M3,MSM6J2PQ,MSM79H52,MSM79H8J,MSM79H94,MSM79H9U,MSM79HCN,MSM79HF1,MSM9VZFJ,PSM6XBQM,PSM6XBRM,PSM6XBSE,PSM6XBSG,PSM6XBTZ,PSM6XBVY,PSM7J13U,PSM7J19X,PSM7J1B3,PSM7J1BN,PSM7J1C2,PSMA2651
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101194,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00131245,0.00186136,0.000778783,0.000705761,0.000642864,0.000663036,0.000444523,0.000755768,0.000749919,0.000932679,0.000722128,0.000978932,0.000555078,0.000908034,0,0.00101664,0.000787557,0.00102019,0.0007138,0.00054913,0.00099946,0.000614973,0.000500833,0.00101258,0.000895247,0.000986239,0.00153168,0.000698064,0.000814541,0.00126902,0.00217533,0.000890332,0.00206901,0.00079519,0.00087268,0.000935452,0.000684931,0.000704287,0.000917216,0.000973707,0.000890467,0.00104353,0.000876105,0.000732849,0.000908384,0.000735454,0.000700749,0.000980755,0.00104461,0.000954964,0.000853474,0.000718152,0.000769527,0.000426186,0.000808481,0.00101222
0.000641121,0,0.000243701,0.000380309,0.000139995,0.000380397,0.000134075,0.000110219,0.000279989,0,0.000317881,0.000106058,0,0.000281849,0,0.000252163,0.000274791,0.000118879,0.000189838,0.000332882,0.000127986,0.000265224,0.000308865,0.000133407,0,0.000192962,0,0.000313884,0.000199064,0,0,0,0,0.000264651,0.00030634,0.000328721,0.000460779,0.000264385,0.000204887,0,0.00040534,0.000269709,0.000446426,0.000258847,9.93E-05,0.000222094,0.000353983,8.37E-05,0.000137383,0.000236001,6.49E-05,0.000312594,0.00012181,0.000265409,0.00014758,0.00022148
0,0,0,1.64E-05,3.34E-05,1.93E-05,4.73E-05,5.47E-05,2.57E-05,0,2.70E-05,0,6.35E-05,2.52E-05,0,0,0,0,0,0,0,3.80E-05,0,0,0,0,0,0.000126851,0,0,0,0,0,0,0,0,0,0,2.93E-05,2.96E-05,0.00011802,0,0,4.10E-05,3.76E-05,0,0,0,3.69E-05,0,0,2.88E-05,6.81E-05,6.49E-05,5.38E-05,2.91E-05
0.00190253,0.00149378,0.000135374,0.000350562,0.000159007,0.000562428,0.000142609,0.000138647,0.000333291,7.79E-05,0.000425652,0.00016393,0.000137107,0.000206398,0,0.000475123,0.000216908,0.000146639,0.000129132,8.85E-05,0.000218298,0.000243551,0.000180088,0.000374709,7.53E-05,0.000326253,0.00016352,0.00114216,0.000716349,0.000953184,0.000804177,0.00064875,0.000844863,0.00029726,0.000322451,0.000390671,0.000295466,0.000298837,0.000343628,9.68E-05,0.000264498,0.000544601,0.000361657,0.000281612,8.07E-05,0.000103075,0.000334017,0.000186329,0.000106406,5.76E-05,0.00020178,0.000400059,9.46E-05,0.000621563,0.000227124,0.000170721
0,0,0,0,0,0,0,0,0,0,2.68E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.93E-05,0.0001013,1.59E-05,0.000107237,0.000126902,9.81E-05,6.17E-05,3.51E-05,0.000182453,4.80E-05,0,6.61E-05,0,0.000160444,0.000109232,5.18E-05,0.000222525,7.56E-05,6.54E-05,0.000104636,0.000156195,8.95E-05,0,6.40E-05,0,0.000108981,0.000189563,0,0,0,0,0.000120935,5.58E-05,9.06E-05,0.000149331,0.000143994,4.88E-05,2.74E-05,8.78E-05,0,3.69E-05,8.70E-05,3.44E-05,5.94E-05,0.000142957,5.43E-05,3.06E-05,7.58E-05,0.000132371,0.000265465,6.17E-05,0.000180467,0.000147818,2.43E-05
0,0,5.69E-05,0.000150693,0.000110595,0.000207025,6.16E-05,0.000176413,0.000152349,0,0.000138025,6.99E-05,0,0.000162797,0,4.75E-05,7.93E-05,0,0.000137448,0.000224972,6.07E-05,5.14E-05,0.000155062,0,4.88E-05,9.41E-05,0,0,0,0,0,0,0,0.00019826,0.000110181,0.000114197,0.000371153,0.000205497,0.0001096,0,0.000283235,4.71E-05,7.90E-05,0.000101206,0,8.89E-05,8.34E-05,0,9.10E-05,0.000146118,6.12E-05,0.000602946,2.86E-05,0.000170033,7.39E-05,7.02E-05
0,0,5.91E-05,0.000135344,0,0.000136583,0,0.000145203,0.000126156,0,7.09E-05,3.54E-05,0,6.63E-05,0,0.00014515,0,3.94E-05,0.000312473,0.0002326,0.000125834,0.000159092,0.000238386,4.46E-05,4.91E-05,6.68E-05,0,0,0.000191379,0,0,0,0,7.69E-05,0.000141843,8.52E-05,0.000234875,0.000128814,5.68E-05,0,0.000245659,0,8.46E-05,5.33E-05,0,4.45E-05,4.28E-05,0,9.05E-05,0.000114229,0,0.000248302,6.06E-05,0,7.68E-05,3.64E-05
0,0,0,0,0,8.35E-05,0,0,0,0,0,0,0.000103139,0,0,0,5.64E-05,0,0,0,0,6.16E-05,0,0,0,0,0,0,0,0,0,0,0,3.01E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34E-05,7.69E-05,0.000105382,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4.04E-05,4.33E-05,4.93E-05,0,3.48E-05,5.59E-05,0,3.28E-05,3.16E-05,0.000162263,2.95E-05,0,0,7.67E-05,0,2.27E-05,0.000104246,0,4.85E-05,0,0,0,5.89E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66E-05,2.42E-05,4.58E-05,2.55E-05,0,0,0,0,0,4.09E-05,3.60E-05,0,3.68E-05,5.64E-05,8.29E-05,0.000135996,0
0.000692656,0.00015647,0,0,0.00020988,7.08E-05,0,8.96E-05,0.000127131,0,9.69E-05,7.38E-05,5.08E-05,7.42E-05,0,0,2.30E-05,2.23E-05,0.000102084,0.000254281,7.17E-05,0.000138969,0,7.59E-05,5.48E-05,5.02E-05,0.000427183,0,0,0,0,0,0,0.000160783,3.16E-05,9.36E-06,6.97E-05,7.27E-05,0.000120146,0.000210417,2.52E-05,5.32E-05,8.34E-05,9.92E-05,0,6.88E-05,2.37E-05,0,0,7.94E-05,7.38E-05,0.000278325,2.90E-05,0.000235728,0.0001414,6.24E-05
0.00172745,0.00015647,0,9.04E-05,0.000407021,0.000184978,0,2.08E-05,0.000254893,0,9.69E-05,0.00010868,0.000287009,0.000117585,0,0,2.30E-05,5.19E-05,0.000108114,0.000254281,0.000167281,0.000260318,0,7.59E-05,5.48E-05,5.02E-05,0.000588567,0,0,0,0,0,0,0.000125609,3.16E-05,9.36E-06,6.97E-05,7.27E-05,0.000241338,0.000217508,7.06E-05,5.32E-05,6.48E-05,9.92E-05,0,6.88E-05,2.37E-05,0,0,7.94E-05,7.38E-05,0.00049059,0.000118631,0.000442359,0,6.24E-05
0.000474396,0.000418081,0,0,0.000148487,9.86E-05,4.75E-05,3.33E-05,0.000121438,0.000113851,2.62E-05,5.93E-05,8.19E-05,6.39E-05,0,0,0,7.72E-05,6.46E-05,0.000250616,9.09E-05,0.000104033,0,0,3.77E-05,3.87E-05,0.000324433,0,0,0,0,8.03E-05,0,6.33E-05,6.39E-05,2.61E-05,2.43E-05,0.000114566,0.000122496,6.58E-05,0,5.66E-05,3.16E-05,6.54E-05,0,7.50E-05,4.01E-05,0,4.19E-05,2.85E-05,6.00E-05,4.67E-05,2.80E-05,0.000144345,0,8.85E-05
