ID,Healthy_count
K09936,9.24E-05
K06217,5.88E-04
K07349,1.38E-05
K03611,2.56E-05
K06212,2.72E-05
K06213,5.12E-04
K07345,1.19E-05
K07347,3.10E-05
K07346,3.25E-05
K07341,1.37E-04
K09939,1.49E-04
K07343,2.82E-05
K11646,2.82E-06
K06968,1.53E-05
K06969,8.56E-04
K06962,2.21E-04
K06960,6.50E-04
K06966,6.15E-04
K06967,1.53E-04
K13301,9.76E-06
K12736,4.92E-06
K00748,3.45E-04
K12733,7.91E-06
K05812,6.45E-06
K05811,7.24E-06
K00743,2.20E-05
K07507,4.73E-04
K08994,4.96E-06
K07505,2.83E-05
K05810,4.36E-04
K07503,3.96E-06
K07502,5.04E-05
K08993,8.07E-06
K08992,2.00E-05
K03219,3.88E-06
K08999,3.09E-04
K08998,1.05E-03
K09800,3.23E-05
K09801,4.65E-05
K09802,1.32E-05
K09805,5.88E-06
K09806,2.93E-05
K09807,3.22E-04
K09808,3.17E-04
K09809,3.06E-06
K05814,4.16E-05
K10914,2.54E-05
K10906,1.90E-06
K10771,2.38E-05
K10773,7.94E-04
K10778,4.86E-05
K07239,1.90E-04
K11358,2.64E-04
K01903,1.05E-04
K01902,1.25E-04
K06910,4.71E-05
K01906,3.89E-05
K07340,2.32E-05
K01908,2.46E-06
K01948,1.28E-05
K07769,1.31E-06
K07768,7.53E-06
K00348,3.80E-04
K07164,3.47E-04
K07166,4.43E-04
K07160,6.19E-05
K00340,5.98E-04
K00341,1.80E-04
K00690,6.31E-05
K00691,6.39E-05
K00344,4.20E-06
K00697,8.09E-05
K00346,2.84E-04
K00347,2.30E-04
K09117,7.80E-04
K02457,8.72E-06
K01766,3.87E-06
K09118,6.76E-06
K02106,1.02E-05
K05822,3.84E-06
K05823,1.10E-05
K05820,7.03E-06
K02452,1.69E-05
K14327,6.53E-06
K03458,4.31E-04
K00525,3.63E-04
K00526,1.63E-04
K00527,6.80E-04
K00520,9.55E-05
K03592,1.44E-04
K01835,1.56E-04
K01834,1.83E-03
K02518,1.23E-03
K00528,4.09E-04
K04069,9.34E-04
K04068,9.43E-04
K04065,1.93E-05
K00029,2.16E-04
K04066,4.23E-04
K04061,9.91E-05
K04063,5.45E-06
K07709,7.82E-06
K07729,4.82E-04
K06202,7.24E-06
K03451,8.28E-05
K09921,6.58E-06
K10006,1.20E-05
K10007,1.03E-05
K10004,6.06E-05
K09920,4.93E-06
K10002,3.20E-05
K03981,3.64E-05
K10000,6.20E-06
K00796,5.42E-04
K09927,1.18E-05
K09024,4.05E-06
K05339,2.62E-05
K09022,3.86E-05
K00795,5.26E-05
K10008,3.06E-05
K09021,6.00E-06
K00794,7.73E-04
K05346,6.08E-06
K02909,1.51E-03
K08218,4.73E-04
K08219,1.16E-05
K02904,7.14E-04
K08217,2.44E-04
K02906,9.56E-04
K02907,9.49E-04
K02902,1.13E-03
K00389,4.47E-05
K00230,8.55E-05
K00231,2.81E-05
K01343,4.89E-06
K00023,1.04E-04
K00239,3.05E-04
K09928,1.55E-05
K14588,2.94E-06
K01012,5.52E-04
K01011,3.27E-05
K00836,4.59E-06
K00837,5.05E-04
K00835,8.55E-06
K00832,5.28E-05
K00833,2.37E-04
K00830,1.94E-06
K00831,7.47E-04
K00839,2.20E-05
K00549,1.45E-04
K11739,9.67E-06
K13677,4.85E-06
K04335,4.84E-06
K04334,5.13E-06
K01121,1.13E-06
K11738,6.13E-06
K01126,8.90E-04
K04333,3.58E-06
K08322,9.76E-05
K08323,3.46E-05
K01129,5.25E-04
K08321,7.76E-05
K08326,4.23E-06
K08324,5.04E-06
K08325,2.78E-04
K02470,9.81E-04
K02471,4.65E-05
K02472,1.99E-04
K02474,2.12E-04
K02477,1.02E-03
K05318,4.00E-05
K02479,3.84E-05
K03520,1.02E-06
K01659,2.64E-05
K01658,4.82E-04
K13581,5.56E-06
K09019,3.95E-06
K06888,1.37E-05
K01653,8.18E-04
K01652,6.42E-04
K01655,1.27E-05
K01654,1.96E-04
K01657,3.61E-04
K12854,2.72E-06
K02874,1.25E-03
K10195,8.73E-06
K02876,1.08E-03
K02871,1.08E-03
K11737,1.15E-05
K03204,8.21E-06
K02878,1.09E-03
K02879,9.61E-04
K11736,1.52E-06
K02052,7.41E-05
K02053,4.33E-05
K02050,4.45E-04
K02051,5.07E-04
K02056,4.24E-04
K02057,7.45E-04
K02054,7.10E-05
K02055,2.77E-05
K03503,1.26E-04
K03502,3.34E-04
K03501,6.02E-04
K03500,2.15E-04
K03675,1.76E-05
K03892,4.99E-04
K02278,3.19E-05
K09748,8.92E-04
K13014,5.23E-06
K06023,3.01E-04
K06022,4.96E-05
K06020,3.08E-04
K09747,4.52E-04
K06026,2.89E-06
K06024,3.19E-04
K13018,8.98E-05
K02568,1.06E-05
K14054,3.13E-06
K13292,4.20E-04
K02858,5.71E-04
K03477,1.61E-05
K03476,1.47E-05
K03475,4.87E-05
K03474,4.66E-04
K03473,2.72E-04
K03472,2.11E-06
K03471,1.75E-05
K03470,7.22E-04
K14051,5.00E-05
K12983,4.47E-05
K12982,3.22E-05
K12985,1.18E-05
K12984,1.07E-05
K03478,3.76E-05
K07674,9.55E-06
K11293,1.18E-06
K03098,6.21E-05
K13853,2.12E-06
K12507,1.19E-05
K12506,3.78E-05
K03091,1.06E-03
K03090,6.54E-06
K12503,3.79E-05
K03092,3.45E-04
K13010,1.38E-04
K02304,2.30E-05
K06113,2.34E-04
K02303,2.08E-05
K02300,7.04E-06
K02301,2.62E-06
K02429,6.90E-04
K03200,9.40E-06
K13013,1.27E-05
K02584,8.37E-05
K07080,1.79E-04
K13015,4.15E-05
K05803,6.28E-06
K03652,2.81E-05
K03651,7.08E-06
K03650,5.31E-04
K03657,8.21E-04
K03656,8.87E-06
K03655,1.04E-03
K03654,9.84E-04
K03658,2.76E-05
K08693,5.57E-06
K12256,1.77E-06
K11748,8.22E-06
K11749,3.63E-04
K11746,4.12E-06
K11747,1.37E-05
K11744,2.10E-05
K11745,1.04E-05
K11742,7.10E-06
K11743,1.92E-05
K11740,3.10E-06
K11741,4.13E-04
K13920,1.67E-05
K13921,2.09E-06
K13922,2.61E-05
K13923,1.67E-05
K13924,1.92E-05
K13926,2.53E-06
K13927,5.50E-06
K13928,6.28E-06
K13929,1.43E-05
K06203,1.53E-05
K09922,6.71E-04
K06201,4.89E-04
K06200,4.85E-04
K06207,5.24E-04
K06206,3.02E-04
K09925,4.24E-05
K09924,1.26E-04
K06209,2.74E-04
K04844,8.08E-06
K00769,2.75E-05
K11630,1.48E-05
K06595,2.57E-06
K03528,5.80E-06
K01141,2.40E-05
K06979,4.08E-06
K06978,6.48E-05
K07979,9.65E-04
K06971,4.12E-05
K06970,7.37E-05
K06973,6.49E-04
K06972,1.42E-04
K06975,7.20E-04
K03674,8.90E-06
K07082,4.61E-04
K07083,3.70E-05
K00759,6.22E-04
K00758,1.07E-05
K04885,1.52E-05
K07084,7.32E-05
K07085,9.46E-04
K07088,5.62E-04
K07089,2.33E-04
K00757,6.64E-04
K00756,1.30E-04
K00754,2.57E-03
K10907,3.43E-04
K06001,3.67E-04
K07570,8.38E-06
K07571,1.33E-04
K07576,2.84E-04
K10901,2.81E-06
K07574,2.73E-04
K10900,8.28E-06
K10909,9.01E-07
K10908,8.97E-07
K11189,9.65E-04
K06379,2.47E-04
K06957,1.49E-05
K09817,5.66E-04
K09816,4.86E-04
K09815,3.90E-04
K06374,2.14E-04
K11180,1.86E-05
K09812,7.38E-04
K09811,5.72E-04
K09810,7.64E-04
K07470,9.86E-06
K10763,3.30E-05
K01938,5.44E-04
K01939,1.16E-02
K11161,4.21E-05
K01934,4.09E-04
K01935,3.61E-04
K01937,5.29E-04
K01930,4.94E-06
K01932,4.25E-05
K01933,7.08E-04
K00356,2.16E-05
K00355,2.15E-05
K00354,8.18E-06
K00353,8.00E-05
K01169,5.82E-06
K00351,2.59E-04
K00350,3.61E-04
K07796,6.42E-05
K07797,2.00E-06
K07795,7.05E-06
K07792,7.34E-05
K07793,1.78E-04
K00359,1.98E-04
K07791,3.10E-04
K07150,9.19E-05
K00688,7.66E-04
K07154,8.10E-04
K07156,6.24E-06
K07406,6.08E-05
K07407,7.51E-04
K00683,4.53E-05
K07405,3.18E-04
K07402,2.40E-04
K00358,3.11E-04
K07400,4.03E-06
K12813,1.55E-06
K03839,4.84E-04
K09819,1.30E-05
K00968,1.25E-04
K06378,2.39E-05
K00969,5.43E-04
K11184,1.90E-05
K05833,4.51E-04
K05832,3.81E-04
K05835,2.82E-05
K05834,7.54E-06
K05837,6.07E-04
K05836,1.34E-05
K05838,1.60E-05
K04769,2.87E-04
K01808,9.85E-04
K00532,1.35E-04
K02116,2.51E-05
K00537,3.94E-04
K11127,5.65E-07
K06373,3.45E-04
K01802,7.38E-04
K01803,8.48E-04
K01804,2.42E-04
K01805,2.48E-04
K01807,1.38E-04
K04058,2.07E-06
K13829,3.21E-06
K11912,5.01E-06
K10540,4.93E-04
K11183,2.75E-05
K08717,1.43E-04
K04056,4.72E-06
K05550,2.03E-05
K07494,7.92E-06
K01246,4.06E-04
K01247,4.28E-05
K01243,6.40E-04
K01241,2.39E-04
K10015,8.16E-06
K10014,5.92E-06
K14260,7.47E-05
K14261,5.24E-05
K10011,1.02E-05
K10010,3.35E-05
K10013,5.81E-06
K10012,3.70E-05
K10019,1.23E-05
K02919,2.01E-05
K02913,1.59E-03
K02911,1.42E-03
K02916,6.88E-04
K02914,6.86E-04
K07450,3.95E-06
K01330,1.32E-06
K03298,5.18E-06
K00228,5.02E-06
K00226,1.11E-03
K01338,5.70E-04
K00224,2.07E-05
K07234,3.19E-06
K00220,2.62E-06
K02682,1.29E-05
K01069,3.17E-04
K02687,6.08E-04
K02686,1.47E-05
K01790,1.12E-03
K01791,1.01E-03
K01060,1.68E-05
K02688,4.11E-05
K01066,2.42E-04
K01795,3.35E-04
K01796,6.60E-06
K01797,9.20E-06
K00825,3.17E-06
K00824,4.31E-05
K00826,7.55E-04
K00821,2.53E-04
K00820,5.76E-04
K00823,9.57E-06
K00822,4.77E-06
K05499,2.86E-05
K07389,4.61E-06
K01488,1.02E-04
K01489,7.77E-04
K01484,3.44E-06
K01485,6.75E-05
K01486,1.58E-04
K01487,2.81E-04
K01480,2.61E-04
K01483,4.84E-06
K01664,3.09E-05
K01665,2.17E-04
K01666,1.02E-04
K01667,2.74E-04
K01661,2.66E-04
K01662,7.17E-04
K02468,2.34E-05
K02467,4.82E-06
K05306,2.50E-04
K05305,5.94E-05
K05304,2.47E-05
K01669,5.14E-06
K02461,2.25E-05
K02460,7.12E-06
K01466,1.98E-05
K01467,4.03E-04
K01464,1.05E-04
K01465,5.60E-04
K01462,1.01E-03
K01463,4.63E-04
K01460,7.43E-06
K13599,1.38E-05
K13598,4.28E-06
K01468,3.62E-04
K02863,1.08E-03
K01541,1.70E-06
K02860,6.91E-04
K02867,1.13E-03
K02864,1.05E-03
K13069,2.02E-06
K12136,9.24E-06
K02041,4.46E-05
K02040,6.48E-04
K02043,3.17E-06
K05546,3.67E-06
K02045,7.42E-05
K02044,3.67E-05
K02047,9.78E-05
K02046,1.03E-04
K02049,3.12E-04
K02048,8.25E-05
K06046,2.06E-06
K03212,1.68E-05
K03319,1.14E-04
K03316,2.08E-05
K03317,5.48E-05
K03314,8.92E-06
K03315,3.18E-04
K03312,2.76E-04
K03313,2.98E-04
K03310,8.71E-04
K03311,2.16E-04
K01295,2.68E-05
K05661,2.43E-06
K10832,1.39E-06
K03790,7.23E-05
K05663,1.27E-06
K03796,2.52E-06
K03797,8.97E-04
K03795,6.69E-06
K03798,8.94E-04
K07799,4.82E-05
K13280,4.86E-05
K13283,6.77E-06
K03402,7.12E-04
K03403,4.81E-06
K12289,4.33E-06
K03406,5.23E-04
K03407,6.78E-05
K03404,3.60E-05
K03405,1.43E-05
K03408,1.52E-04
K03409,5.33E-06
K01860,2.09E-06
K03392,2.25E-05
K13021,3.64E-06
K05368,3.32E-06
K12530,1.69E-06
K00122,2.43E-05
K02315,3.83E-04
K02314,7.39E-04
K02317,8.24E-06
K02316,4.72E-04
K06166,2.18E-05
K06167,4.07E-04
K02313,5.40E-04
K03222,5.83E-06
K03223,3.78E-06
K06168,6.92E-04
K00721,9.54E-04
K03226,1.38E-05
K09998,2.17E-05
K03224,9.13E-06
K07320,3.36E-05
K02132,2.96E-06
K07151,2.53E-06
K02019,5.00E-05
K07326,4.87E-06
K02401,7.69E-05
K02400,8.19E-05
K02403,6.51E-06
K08681,1.02E-04
K08680,3.74E-05
K08682,3.65E-06
K12152,5.06E-06
K11755,5.50E-04
K11754,4.37E-04
K11751,1.09E-05
K12409,1.15E-06
K11753,5.27E-04
K11752,4.80E-04
K00681,5.46E-05
K02407,7.04E-05
K00680,1.49E-03
K13936,1.03E-05
K13935,6.24E-06
K02406,2.96E-04
K13933,1.14E-05
K07404,1.57E-04
K13930,6.16E-06
K06073,2.12E-06
K00684,1.09E-04
K09790,4.35E-04
K11991,1.24E-04
K09793,3.42E-04
K09794,1.04E-04
K11996,2.17E-04
K09797,2.94E-04
K09798,1.59E-05
K09799,4.64E-06
K02813,4.72E-06
K02344,1.45E-05
K02402,4.03E-06
K07091,2.53E-05
K07090,4.57E-04
K07095,8.42E-04
K03366,1.24E-05
K13908,5.40E-07
K01449,8.21E-05
K07099,1.87E-04
K07098,5.89E-04
K06132,5.69E-06
K10972,4.88E-06
K07560,8.75E-04
K07567,1.55E-03
K07566,1.06E-03
K07568,8.69E-04
K10979,9.59E-06
K03184,1.98E-06
K09862,1.72E-05
K11192,1.00E-05
K11191,1.00E-05
K09861,3.94E-04
K06306,2.24E-05
K11328,1.86E-06
K02243,5.80E-06
K05779,9.81E-06
K10710,4.52E-05
K10711,6.10E-06
K10716,5.65E-06
K10715,2.73E-06
K11175,7.11E-04
K01929,5.52E-04
K01928,5.29E-04
K07786,1.51E-06
K01923,7.30E-04
K01922,1.28E-05
K01921,6.55E-04
K01920,1.54E-05
K11179,1.01E-04
K01926,6.98E-04
K01925,4.59E-04
K01924,5.75E-04
K05949,9.58E-06
K07789,1.82E-05
K07788,3.33E-06
K00324,1.61E-05
K00325,1.47E-05
K07784,1.57E-05
K07787,1.74E-04
K08163,1.03E-05
K05945,1.11E-04
K07780,3.11E-06
K07783,1.64E-04
K05946,3.97E-04
K06416,5.59E-05
K13735,1.41E-05
K06946,6.49E-06
K06415,4.50E-06
K06412,3.16E-04
K06941,7.59E-04
K06942,6.38E-04
K07148,4.29E-04
K10806,4.11E-05
K07146,4.21E-06
K07145,9.46E-06
K10805,8.42E-06
K06949,7.29E-04
K10800,1.19E-05
K07140,2.10E-06
K13040,9.87E-06
K09139,9.00E-06
K05396,3.76E-05
K09134,1.21E-05
K09136,1.88E-05
K09131,3.02E-05
K01817,3.44E-04
K01816,3.61E-05
K01815,4.91E-04
K01814,5.82E-04
K05808,1.28E-03
K01812,3.40E-04
K01811,4.42E-04
K01810,7.09E-04
K05804,2.16E-05
K05805,3.55E-05
K05807,4.11E-04
K05800,6.93E-05
K05801,1.34E-04
K01819,8.22E-05
K01818,2.01E-04
K04047,3.49E-04
K04046,4.25E-06
K04045,7.03E-06
K04044,2.66E-05
K04043,9.22E-04
K04042,2.23E-04
K04041,4.27E-04
K02069,1.88E-04
K00782,4.08E-04
K00783,8.11E-04
K00784,5.89E-04
K00786,1.98E-04
K11004,7.79E-06
K00036,2.49E-04
K00789,6.38E-04
K00034,6.60E-06
K00033,3.02E-04
K00030,3.72E-05
K00031,4.49E-04
K00533,2.83E-04
K01259,5.21E-06
K01258,6.02E-04
K01809,5.74E-04
K01255,2.11E-05
K01256,7.44E-05
K01251,2.29E-04
K01250,1.26E-05
K01252,1.67E-05
K11787,3.18E-06
K10026,5.44E-05
K09001,6.63E-05
K09002,5.95E-05
K09004,6.67E-06
K09007,4.60E-05
K05245,1.53E-06
K12597,7.59E-07
K02067,2.86E-04
K08234,1.77E-04
K01322,9.33E-05
K08368,3.33E-06
K00253,3.04E-06
K00257,2.83E-04
K01079,3.02E-04
K01078,9.06E-05
K01071,3.27E-05
K01070,2.62E-04
K07023,1.66E-04
K01077,5.43E-04
K01076,2.30E-05
K00810,3.99E-05
K00811,3.72E-04
K00812,3.55E-04
K00817,6.17E-04
K00818,3.53E-04
K00819,9.72E-05
K08304,2.22E-05
K08305,1.41E-05
K08306,6.34E-06
K08307,2.90E-04
K08300,3.03E-05
K08301,3.84E-04
K08302,9.12E-05
K08303,1.03E-03
K02244,8.89E-06
K08308,3.81E-06
K08309,1.13E-04
K05794,8.03E-06
K05795,4.97E-05
K05796,3.06E-05
K05790,6.14E-06
K05791,1.46E-05
K05792,2.25E-05
K01493,9.71E-04
K01492,1.41E-04
K01491,6.71E-04
K01497,5.24E-04
K01496,1.08E-04
K01495,5.78E-04
K01494,7.74E-05
K01673,5.73E-04
K02418,6.23E-05
K02419,7.14E-05
K01677,2.90E-04
K01676,2.93E-04
K02412,9.64E-05
