	ID	CSM5LLGB	CSM6J2H9	CSM79HGR	ESM5GEYX	ESM5GEYY	ESM5GEZ1	ESM5MEAB	ESM5MEB9	ESM5MEC7	ESM5MEDP	ESM5MEE2	ESM5MEEJ	ESM718U9	ESM7F5AE	HSM5MD6S	HSM67VDR	HSM67VDT	HSM6XRQC	HSM6XRTE	HSM7CZ2X	HSM7J4JV	HSMA33J1
514	gi|396083|emb|CAA80246.1|	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
515	gi|398125|dbj|BAA02473.1|	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
516	gi|3983575|dbj|BAA34817.1|	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	2.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0
517	gi|40075410|gb|AAR39814.1|	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
518	gi|40089206|gb|AAR45540.1|	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
519	gi|40155146|gb|AAR65335.1|	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
520	gi|40155147|gb|AAR65336.1|	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
521	gi|404828|emb|CAA80424.1|	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
522	gi|405863|gb|AAA60495.1|	0.0	0.0	0.0	2.0	3.0	2.0	0.0	2.0	4.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	0.0	0.0
523	gi|4062846|dbj|BAA36161.1|	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
524	gi|40667|emb|CAA33665.1|	0.0	0.0	1.0	6.0	3.0	1.0	0.0	1.0	1.0	0.0	2.0	2.0	0.0	3.0	1.0	3.0	0.0	1.0	2.0	2.0	1.0	0.0
525	gi|40678|emb|CAA49187.1|	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
526	gi|40806810|gb|AAR92204.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
527	gi|40850649|gb|AAR96046.1|	0.0	0.0	0.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
528	gi|4090603|gb|AAD05199.1|	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
529	gi|41176619|gb|AAR99599.1|	0.0	1.0	2.0	2.0	2.0	0.0	1.0	2.0	2.0	2.0	1.0	4.0	1.0	4.0	1.0	2.0	5.0	1.0	4.0	3.0	0.0	2.0
530	gi|41393807|gb|AAS02154.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
531	gi|41411249|emb|CAE17325.1|	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
532	gi|419514|pir||A43802	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
533	gi|4204209|dbj|BAA74508.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
534	gi|4204919|gb|AAD10851.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
535	gi|42556011|gb|AAS19695.1|	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0
536	gi|42556012|gb|AAS19696.1|	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	1.0	3.0	0.0	2.0	2.0	2.0	2.0	0.0	1.0	2.0	0.0	0.0
537	gi|4335686|gb|AAD17382.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
538	gi|4376759|gb|AAD18615.1|	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
539	gi|438455|gb|AAA64351.1|	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0
540	gi|43934|emb|CAA40659.1|	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
541	gi|439852|gb|AAA61708.1|	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
542	gi|44908242|emb|CAF32990.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
543	gi|450849|gb|AAA97431.1|	0.0	0.0	2.0	0.0	1.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0
544	gi|450852|gb|AAB08023.1|	0.0	0.0	2.0	2.0	2.0	0.0	1.0	1.0	3.0	3.0	2.0	2.0	1.0	3.0	2.0	3.0	2.0	0.0	1.0	2.0	1.0	1.0
545	gi|450853|gb|AAB08024.1|	0.0	0.0	3.0	2.0	4.0	0.0	3.0	3.0	6.0	3.0	3.0	2.0	1.0	6.0	4.0	4.0	3.0	0.0	3.0	2.0	2.0	1.0
546	gi|45219920|dbj|BAD12237.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
547	gi|45436152|gb|AAS61708.1|	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
548	gi|4567098|gb|AAD23585.1|AF130985_1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
549	gi|4572568|emb|CAB40078.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
550	gi|457801|emb|CAA36207.1|	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
